s,s_type,p,p_type,o,o_type
http://dbpedia.org/resource/Max_Perutz,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Vienna,uri
http://dbpedia.org/resource/Max_Perutz,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Austria-Hungary,uri
http://dbpedia.org/resource/Max_Perutz,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Vienna,uri
http://dbpedia.org/resource/Max_Perutz,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Austria-Hungary,uri
http://dbpedia.org/resource/Max_Westenhöfer,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/German_Empire,uri
http://dbpedia.org/resource/Max_Westenhöfer,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Kingdom_of_Bavaria,uri
http://dbpedia.org/resource/Max_Westenhöfer,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Ansbach,uri
http://dbpedia.org/resource/Max_Westenhöfer,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/German_Empire,uri
http://dbpedia.org/resource/Max_Westenhöfer,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Kingdom_of_Bavaria,uri
http://dbpedia.org/resource/Max_Westenhöfer,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Ansbach,uri
http://dbpedia.org/resource/Max_Westenhöfer,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/German_Empire,uri
http://dbpedia.org/resource/Max_Westenhöfer,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Kingdom_of_Bavaria,uri
http://dbpedia.org/resource/Max_Westenhöfer,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Ansbach,uri
http://dbpedia.org/resource/Melanie_Klein,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Vienna,uri
http://dbpedia.org/resource/Melanie_Klein,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Austria-Hungary,uri
http://dbpedia.org/resource/Melanie_Klein,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Vienna,uri
http://dbpedia.org/resource/Melanie_Klein,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Austria-Hungary,uri
http://dbpedia.org/resource/Melanie_Klein,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Vienna,uri
http://dbpedia.org/resource/Melanie_Klein,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Austria-Hungary,uri
http://dbpedia.org/resource/Melitta_Schmideberg,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Austria-Hungary,uri
http://dbpedia.org/resource/Melitta_Schmideberg,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Ružomberok,uri
http://dbpedia.org/resource/Melitta_Schmideberg,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Austria-Hungary,uri
http://dbpedia.org/resource/Melitta_Schmideberg,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Ružomberok,uri
http://dbpedia.org/resource/Michael_Stifel,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Esslingen_am_Neckar,uri
http://dbpedia.org/resource/Michael_Stifel,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Esslingen_am_Neckar,uri
http://dbpedia.org/resource/Michael_Stifel,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Esslingen_am_Neckar,uri
http://dbpedia.org/resource/Mihailo_Petrović_Alas,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Belgrade,uri
http://dbpedia.org/resource/Mihailo_Petrović_Alas,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Principality_of_Serbia,uri
http://dbpedia.org/resource/Mihailo_Petrović_Alas,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Belgrade,uri
http://dbpedia.org/resource/Mihailo_Petrović_Alas,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Principality_of_Serbia,uri
http://dbpedia.org/resource/Mihailo_Petrović_Alas,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Belgrade,uri
http://dbpedia.org/resource/Mihailo_Petrović_Alas,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Principality_of_Serbia,uri
http://dbpedia.org/resource/Mike_Develin,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Hobart,uri
http://dbpedia.org/resource/Mike_Develin,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Hobart,uri
http://dbpedia.org/resource/Mike_Develin,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Hobart,uri
http://dbpedia.org/resource/Moritz_Benedikt,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Kingdom_of_Hungary,uri
http://dbpedia.org/resource/Moritz_Benedikt,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Sopron_County,uri
http://dbpedia.org/resource/Moritz_Benedikt,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Eisenstadt,uri
http://dbpedia.org/resource/Moritz_Benedikt,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Kingdom_of_Hungary,uri
http://dbpedia.org/resource/Moritz_Benedikt,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Sopron_County,uri
http://dbpedia.org/resource/Moritz_Benedikt,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Eisenstadt,uri
http://dbpedia.org/resource/Nediljko_Budisa,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Socialist_Federal_Republic_of_Yugoslavia,uri
http://dbpedia.org/resource/Nediljko_Budisa,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Socialist_Republic_of_Croatia,uri
http://dbpedia.org/resource/Nediljko_Budisa,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Šibenik,uri
http://dbpedia.org/resource/Nediljko_Budisa,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Socialist_Federal_Republic_of_Yugoslavia,uri
http://dbpedia.org/resource/Nediljko_Budisa,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Socialist_Republic_of_Croatia,uri
http://dbpedia.org/resource/Nediljko_Budisa,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Šibenik,uri
http://dbpedia.org/resource/Nediljko_Budisa,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Socialist_Federal_Republic_of_Yugoslavia,uri
http://dbpedia.org/resource/Nediljko_Budisa,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Socialist_Republic_of_Croatia,uri
http://dbpedia.org/resource/Nediljko_Budisa,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Šibenik,uri
http://dbpedia.org/resource/Nguyễn_Xuân_Vinh,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Yên_Bái,uri
http://dbpedia.org/resource/Nguyễn_Xuân_Vinh,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Tonkin_(French_protectorate),uri
http://dbpedia.org/resource/Nguyễn_Xuân_Vinh,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Yên_Bái,uri
http://dbpedia.org/resource/Nguyễn_Xuân_Vinh,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Tonkin_(French_protectorate),uri
http://dbpedia.org/resource/Nguyễn_Xuân_Vinh,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Yên_Bái,uri
http://dbpedia.org/resource/Nguyễn_Xuân_Vinh,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Tonkin_(French_protectorate),uri
http://dbpedia.org/resource/Nikolai_Menshutkin,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Saint_Petersburg,uri
http://dbpedia.org/resource/Nikolai_Menshutkin,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Russian_Empire,uri
http://dbpedia.org/resource/Nikolai_Menshutkin,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Saint_Petersburg,uri
http://dbpedia.org/resource/Nikolai_Menshutkin,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Russian_Empire,uri
http://dbpedia.org/resource/Nikolai_Menshutkin,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Saint_Petersburg,uri
http://dbpedia.org/resource/Nikolai_Menshutkin,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Russian_Empire,uri
http://dbpedia.org/resource/Norbert_Elias,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Poland,uri
http://dbpedia.org/resource/Norbert_Elias,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Wrocław,uri
http://dbpedia.org/resource/Norbert_Elias,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/German_Empire,uri
http://dbpedia.org/resource/Norbert_Elias,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Kingdom_of_Prussia,uri
http://dbpedia.org/resource/Norbert_Elias,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Province_of_Silesia,uri
http://dbpedia.org/resource/Norbert_Elias,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Poland,uri
http://dbpedia.org/resource/Norbert_Elias,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Wrocław,uri
http://dbpedia.org/resource/Norbert_Elias,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/German_Empire,uri
http://dbpedia.org/resource/Norbert_Elias,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Kingdom_of_Prussia,uri
http://dbpedia.org/resource/Norbert_Elias,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Province_of_Silesia,uri
http://dbpedia.org/resource/Norbert_Elias,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Poland,uri
http://dbpedia.org/resource/Norbert_Elias,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Wrocław,uri
http://dbpedia.org/resource/Norbert_Elias,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/German_Empire,uri
http://dbpedia.org/resource/Norbert_Elias,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Kingdom_of_Prussia,uri
http://dbpedia.org/resource/Norbert_Elias,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Province_of_Silesia,uri
http://dbpedia.org/resource/Norman_Johnson_(mathematician),uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Chicago,uri
http://dbpedia.org/resource/Norman_Johnson_(mathematician),uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Chicago,uri
http://dbpedia.org/resource/Norman_Johnson_(mathematician),uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Chicago,uri
http://dbpedia.org/resource/Noël_Martin_Joseph_de_Necker,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Lille,uri
http://dbpedia.org/resource/Noël_Martin_Joseph_de_Necker,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Lille,uri
http://dbpedia.org/resource/Noël_Martin_Joseph_de_Necker,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Lille,uri
http://dbpedia.org/resource/Oskar_Anderson,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Minsk,uri
http://dbpedia.org/resource/Oskar_Anderson,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Minsk_Governorate,uri
http://dbpedia.org/resource/Oskar_Anderson,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Russian_Empire,uri
http://dbpedia.org/resource/Oskar_Anderson,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Minsk,uri
http://dbpedia.org/resource/Oskar_Anderson,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Minsk_Governorate,uri
http://dbpedia.org/resource/Oskar_Anderson,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Russian_Empire,uri
http://dbpedia.org/resource/Oskar_Anderson,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Minsk,uri
http://dbpedia.org/resource/Oskar_Anderson,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Minsk_Governorate,uri
http://dbpedia.org/resource/Oskar_Anderson,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Russian_Empire,uri
http://dbpedia.org/resource/Oskar_Boettger,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Frankfurt,uri
http://dbpedia.org/resource/Oskar_Boettger,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Germany,uri
http://dbpedia.org/resource/Oskar_Boettger,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Frankfurt,uri
http://dbpedia.org/resource/Oskar_Boettger,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Germany,uri
http://dbpedia.org/resource/Oskar_Boettger,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Frankfurt,uri
http://dbpedia.org/resource/Oskar_Boettger,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Germany,uri
http://dbpedia.org/resource/Oskar_Bolza,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Palatinate_(region),uri
http://dbpedia.org/resource/Oskar_Bolza,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Bad_Bergzabern,uri
http://dbpedia.org/resource/Oskar_Bolza,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Palatinate_(region),uri
http://dbpedia.org/resource/Oskar_Bolza,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Bad_Bergzabern,uri
http://dbpedia.org/resource/Oskar_Bolza,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Palatinate_(region),uri
http://dbpedia.org/resource/Oskar_Bolza,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Bad_Bergzabern,uri
http://dbpedia.org/resource/Oskar_Heinroth,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Mainz,uri
http://dbpedia.org/resource/Oskar_Heinroth,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/German_Empire,uri
http://dbpedia.org/resource/Oskar_Heinroth,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Mainz,uri
http://dbpedia.org/resource/Oskar_Heinroth,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/German_Empire,uri
http://dbpedia.org/resource/Oskar_Heinroth,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Mainz,uri
http://dbpedia.org/resource/Oskar_Heinroth,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/German_Empire,uri
http://dbpedia.org/resource/Oskar_Klein,uri,http://dbpedia.org/ontology/birthPlace,uri,"http://dbpedia.org/resource/Mörby,_Danderyd_Municipality",uri
http://dbpedia.org/resource/Oskar_Klein,uri,http://dbpedia.org/ontology/birthPlace,uri,"http://dbpedia.org/resource/Mörby,_Danderyd_Municipality",uri
http://dbpedia.org/resource/Oskar_Klein,uri,http://dbpedia.org/ontology/birthPlace,uri,"http://dbpedia.org/resource/Mörby,_Danderyd_Municipality",uri
http://dbpedia.org/resource/Oskar_Minkowski,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Russian_Empire,uri
http://dbpedia.org/resource/Oskar_Minkowski,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Kovno_Governorate,uri
http://dbpedia.org/resource/Oskar_Minkowski,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Aleksotas_Eldership,uri
http://dbpedia.org/resource/Oskar_Minkowski,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Russian_Empire,uri
http://dbpedia.org/resource/Oskar_Minkowski,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Kovno_Governorate,uri
http://dbpedia.org/resource/Oskar_Minkowski,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Aleksotas_Eldership,uri
http://dbpedia.org/resource/Oskar_Minkowski,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Russian_Empire,uri
http://dbpedia.org/resource/Oskar_Minkowski,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Kovno_Governorate,uri
http://dbpedia.org/resource/Oskar_Minkowski,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Aleksotas_Eldership,uri
http://dbpedia.org/resource/Oskar_von_Miller,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Munich,uri
http://dbpedia.org/resource/Oskar_von_Miller,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Munich,uri
http://dbpedia.org/resource/Oskar_von_Miller,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Munich,uri
http://dbpedia.org/resource/Oswald_Schmiedeberg,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Russian_Empire,uri
http://dbpedia.org/resource/Oswald_Schmiedeberg,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Courland_Governorate,uri
http://dbpedia.org/resource/Oswald_Schmiedeberg,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Courland,uri
http://dbpedia.org/resource/Oswald_Schmiedeberg,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Russian_Empire,uri
http://dbpedia.org/resource/Oswald_Schmiedeberg,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Courland_Governorate,uri
http://dbpedia.org/resource/Oswald_Schmiedeberg,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Courland,uri
http://dbpedia.org/resource/Oswald_Schmiedeberg,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Russian_Empire,uri
http://dbpedia.org/resource/Oswald_Schmiedeberg,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Courland_Governorate,uri
http://dbpedia.org/resource/Oswald_Schmiedeberg,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Courland,uri
http://dbpedia.org/resource/Othenio_Abel,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Vienna,uri
http://dbpedia.org/resource/Othenio_Abel,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Vienna,uri
http://dbpedia.org/resource/Othenio_Abel,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Vienna,uri
http://dbpedia.org/resource/Otto_F._Kernberg,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Vienna,uri
http://dbpedia.org/resource/Otto_F._Kernberg,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Vienna,uri
http://dbpedia.org/resource/Otto_F._Kernberg,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Vienna,uri
http://dbpedia.org/resource/Otto_H._Kegel,uri,http://dbpedia.org/ontology/birthPlace,uri,"http://dbpedia.org/resource/Bethlehem,_Pennsylvania",uri
http://dbpedia.org/resource/Otto_Hönigschmid,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Hořovice,uri
http://dbpedia.org/resource/Otto_Hönigschmid,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Austria-Hungary,uri
http://dbpedia.org/resource/Otto_Hönigschmid,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Kingdom_of_Bohemia,uri
